Sample_directory	Sample	Brain.ID	Region	fastq	clip_fastq	all_mapped_read	uniquely_mapped_read
Sample_AN19760_vermis_27	AN19760_vermis_27	AN19760	vermis	4645229	3071839	5045521	1290606
Sample_NP024_10-BA41-42-22_NP024_10_ba41-42-22_3rd	NP024_10_ba41-42-22_3rd	NP024_10	ba41/42/22	4631747	4101944	7627389	1905919
Sample_NP024_10-BA9_NP024_10_ba9_3rd	NP024_10_ba9_3rd	NP024_10	ba9	4721544	4100929	8023632	1747516
Sample_NP024_10-CB_NP024_10_vermis_3rd	NP024_10_vermis_3rd	NP024_10	vermis	5074839	4705889	8598903	2227401
Sample_NP121_11-BA41-42-22_NP121_11_ba41-42-22_3rd	NP121_11_ba41-42-22_3rd	NP121_11	ba41/42/22	4104374	3457767	6060705	1802715
Sample_NP121_11-BA9_NP121_11_ba9_3rd	NP121_11_ba9_3rd	NP121_11	ba9	4403341	4191572	7303740	2453944
Sample_NP167_08-BA41-42-22_NP167_08_ba41-42-22_3rd	NP167_08_ba41-42-22_3rd	NP167_08	ba41/42/22	4446574	4175328	7247473	2491987
Sample_NP167_08-BA9_NP167_08_ba9_3rd	NP167_08_ba9_3rd	NP167_08	ba9	5190917	4988418	9134165	2693046
Sample_NP26_11-BA41-42-22_NP26_11_ba41-42-22_3rd	NP26_11_ba41-42-22_3rd	NP26_11	ba41/42/22	5483787	4874723	9061832	2105568
Sample_NP26_11-BA9_NP26_11_ba9_3rd	NP26_11_ba9_3rd	NP26_11	ba9	4933830	4652996	8539405	2235976
Sample_NP26_11-CB_NP26_11_vermis_3rd	NP26_11_vermis_3rd	NP26_11	vermis	5540159	5073400	9967529	2064010
Sample_NP27_11-CB_NP27_11_vermis_3rd	NP27_11_vermis_3rd	NP27_11	vermis	5020217	4674969	8336893	2490125
Sample_NP56_10-CB_NP56_10_vermis_3rd	NP56_10_vermis_3rd	NP56_10	vermis	4238533	3991224	7474854	1642268
Sample_NP72_11-BA41-42-22_NP72_11_ba41-42-22_3rd	NP72_11_ba41-42-22_3rd	NP72_11	ba41/42/22	8870861	8485960	15462541	4333119
Sample_NP72_11-BA9_NP72_11_ba9_3rd	NP72_11_ba9_3rd	NP72_11	ba9	4399023	4225022	8083890	1922175
Sample_NP72_11-CB_NP72_11_vermis_3rd	NP72_11_vermis_3rd	NP72_11	vermis	6144688	5597347	10741219	2135755
Sample_NP90_09-BA41-42-22_NP90_09_ba41-42-22_3rd	NP90_09_ba41-42-22_3rd	NP90_09	ba41/42/22	4699115	4272028	8741118	1346603
Sample_NP90_09-BA9_NP90_09_ba9_3rd	NP90_09_ba9_3rd	NP90_09	ba9	5078221	4558479	8187347	2409740
Sample_NP90_09-CB_NP90_09_vermis_3rd	NP90_09_vermis_3rd	NP90_09	vermis	4267898	4147158	7851120	2149813
Sample_UMB1376-BA41-42-22_UMB1376_ba41-42-22_3rd	UMB1376_ba41-42-22_3rd	UMB1376	ba41/42/22	3984277	3606989	6731903	1693928
Sample_UMB1376-BA9_UMB1376_ba9_3rd	UMB1376_ba9_3rd	UMB1376	ba9	4272370	3737183	6576017	1802550
Sample_UMB1376_vermis_2nd	UMB1376_vermis_2nd	UMB1376	vermis	12156883	7733667	13320227	2981758
Sample_UMB1578_ba41-42-22_1st	UMB1578_ba41-42-22_1st	UMB1578	ba41/42/22	3725098	2472862	3953486	1352534
Sample_UMB1578_ba9_2nd	UMB1578_ba9_2nd	UMB1578	ba9	3558158	2961610	4978035	1531388
Sample_UMB1578_vermis_1st	UMB1578_vermis_1st	UMB1578	vermis	4358657	3010121	5314028	1398364
